state_name,zip_code,latitude,longitude
Alabama,36421,31.309436,-86.478031
Alabama,36420,31.33076,-86.527061
Alabama,36421,31.33076,-86.527061
Alabama,35610,34.915675,-87.274274
Alabama,35648,34.915675,-87.274274
Alabama,36201,33.67344,-85.810918
Alabama,36203,33.67344,-85.810918
Alabama,36205,33.67344,-85.810918
Alabama,36206,33.67344,-85.810918
Alabama,36207,33.67344,-85.810918
Alabama,36201,33.671051,-85.876956
Alabama,36202,33.671051,-85.876956
Alabama,36204,33.671051,-85.876956
Alabama,36205,33.671051,-85.876956
Alabama,36206,33.671051,-85.876956
Alabama,36207,33.671051,-85.876956
Alabama,35016,34.330328,-86.500771
Alabama,35016,34.341493,-86.489668
Alabama,35739,34.987805,-86.828764
Alabama,35112,33.691132,-86.505436
Alabama,35120,33.691132,-86.505436
Alabama,35146,33.691132,-86.505436
Alabama,35173,33.691132,-86.505436
Alabama,36311,31.597772,-85.713061
Alabama,35541,34.076353,-87.219298
Alabama,36312,31.185284,-85.236236
Alabama,36251,33.269892,-85.833706
Alabama,36251,33.218176,-85.786307
Alabama,35953,33.83616,-86.271667
Alabama,35987,33.83616,-86.271667
Alabama,35953,33.878358,-86.241384
Alabama,35611,34.778334,-86.949534
Alabama,35613,34.778334,-86.949534
Alabama,35614,34.778334,-86.949534
Alabama,35671,34.778334,-86.949534
Alabama,35756,34.778334,-86.949534
Alabama,35611,34.821342,-86.974753
Alabama,35612,34.821342,-86.974753
Alabama,35613,34.821342,-86.974753
Alabama,35614,34.821342,-86.974753
Alabama,36502,31.131087,-87.459254
Alabama,36502,31.053058,-87.460089
Alabama,36503,31.053058,-87.460089
Alabama,36504,31.053058,-87.460089
Alabama,35904,33.986189,-86.121037
Alabama,35954,33.986189,-86.121037
Alabama,36801,32.607722,-85.489545
Alabama,36804,32.607722,-85.489545
Alabama,36830,32.607722,-85.489545
Alabama,36832,32.607722,-85.489545
Alabama,36849,32.607722,-85.489545
Alabama,36879,32.607722,-85.489545
Alabama,,32.625435,-85.412513
Alabama,36003,32.432563,-86.658752
Alabama,36067,32.432563,-86.658752
Alabama,36003,32.457413,-86.729003
Alabama,36312,31.179724,-85.279184
Alabama,36505,30.922562,-88.021851
